longitude_e4,latitude_e4,start_time,platform_id,resolution_id,band_id,si_value,radiance,reflectance,uncertainty_index,uncertainty_pct
-1042645,269035,201204010545,1,2,21,6542,0.23868608,0.0,0,0.563
-1042936,269013,201204010545,1,2,21,6109,0.2115699,0.0,0,0.563
-1043227,268990,201204010545,1,2,21,6052,0.20800033,0.0,0,0.563
-1043519,268967,201204010545,1,2,21,6903,0.26129335,0.0,0,0.563
-1043814,268944,201204010545,1,2,21,7479,0.29736477,0.0,0,0.563
-1044098,268922,201204010545,1,2,21,6558,0.23968807,0.0,0,0.563
-1044384,268899,201204010545,1,2,21,6381,0.22860363,0.0,0,0.563
-1044670,268877,201204010545,1,2,21,6558,0.23968807,0.0,0,0.563
-1044957,268854,201204010545,1,2,21,6863,0.25878838,0.0,0,0.563
-1045242,268831,201204010545,1,2,21,7095,0.27331716,0.0,0,0.563
-1045518,268809,201204010545,1,2,21,6943,0.2637983,0.0,0,0.563
-1045795,268787,201204010545,1,2,21,6782,0.25371584,0.0,0,0.563
-1046072,268765,201204010545,1,2,21,6438,0.23217319,0.0,0,0.563
-1046347,268743,201204010545,1,2,21,6245,0.22008677,0.0,0,0.563
-1046628,268720,201204010545,1,2,21,6646,0.24519898,0.0,0,0.563
-1046906,268698,201204010545,1,2,21,6895,0.26079234,0.0,0,0.563
-1047169,268677,201204010545,1,2,21,6349,0.22659966,0.0,0,0.563
-1047436,268655,201204010545,1,2,21,6165,0.21507685,0.0,0,0.563
-1047706,268633,201204010545,1,2,21,6325,0.22509669,0.0,0,0.563
-1047973,268611,201204010545,1,2,21,6574,0.24069005,0.0,0,0.563
-1048242,268589,201204010545,1,2,21,6686,0.24770394,0.0,0,0.563
-1048512,268567,201204010545,1,2,21,6814,0.2557198,0.0,0,0.563
-1048775,268546,201204010545,1,2,21,6846,0.25772378,0.0,0,0.563
-1049039,268524,201204010545,1,2,21,6798,0.25471783,0.0,0,0.563
-1049305,268502,201204010545,1,2,21,6662,0.24620096,0.0,0,0.563
-1049565,268481,201204010545,1,2,21,6734,0.2507099,0.0,0,0.563
-1049824,268459,201204010545,1,2,21,6678,0.24720295,0.0,0,0.563
-1050082,268438,201204010545,1,2,21,6919,0.26229534,0.0,0,0.563
-1050338,268417,201204010545,1,2,21,7047,0.2703112,0.0,0,0.563
-1050595,268395,201204010545,1,2,21,7159,0.2773251,0.0,0,0.563
-1050853,268374,201204010545,1,2,21,6822,0.25622082,0.0,0,0.563
-1051103,268353,201204010545,1,2,21,6838,0.2572228,0.0,0,0.563
-1051351,268332,201204010545,1,2,21,6654,0.24569997,0.0,0,0.563
-1051604,268311,201204010545,1,2,21,6766,0.25271386,0.0,0,0.563
-1051855,268289,201204010545,1,2,21,6582,0.24119104,0.0,0,0.563
-1052106,268268,201204010545,1,2,21,6397,0.22960562,0.0,0,0.563
-1052358,268247,201204010545,1,2,21,6542,0.23868608,0.0,0,0.563
-1052608,268226,201204010545,1,2,21,6927,0.2627963,0.0,0,0.563
-1052860,268204,201204010545,1,2,21,7103,0.27381814,0.0,0,0.563
-1053106,268183,201204010545,1,2,21,7087,0.27281615,0.0,0,0.563
-1053350,268162,201204010545,1,2,21,6919,0.26229534,0.0,0,0.563
-1053598,268141,201204010545,1,2,21,6983,0.26630327,0.0,0,0.563
-1053840,268121,201204010545,1,2,21,6726,0.2502089,0.0,0,0.563
-1054081,268100,201204010545,1,2,21,6654,0.24569997,0.0,0,0.563
-1054322,268079,201204010545,1,2,21,6261,0.22108875,0.0,0,0.563
-1054563,268058,201204010545,1,2,21,6349,0.22659966,0.0,0,0.563
-1054802,268038,201204010545,1,2,21,6309,0.2240947,0.0,0,0.563
-1055044,268017,201204010545,1,2,21,6414,0.23067021,0.0,0,0.563
-1055283,267996,201204010545,1,2,21,6542,0.23868608,0.0,0,0.563
-1055526,267975,201204010545,1,2,21,6606,0.24269402,0.0,0,0.563
-1055763,267954,201204010545,1,2,21,6534,0.2381851,0.0,0,0.563
-1055990,267934,201204010545,1,2,21,6197,0.21708082,0.0,0,0.563
-1056221,267914,201204010545,1,2,21,5803,0.19240697,0.0,0,0.563
-1056454,267894,201204010545,1,2,21,5892,0.1979805,0.0,0,0.563
-1056687,267873,201204010545,1,2,21,6004,0.20499438,0.0,0,0.563
-1056921,267853,201204010545,1,2,21,6430,0.2316722,0.0,0,0.563
-1057154,267832,201204010545,1,2,21,6702,0.24870592,0.0,0,0.563
-1057389,267811,201204010545,1,2,21,6895,0.26079234,0.0,0,0.563
-1057632,267790,201204010545,1,2,21,6870,0.25922677,0.0,0,0.563
-1057857,267770,201204010545,1,2,21,6766,0.25271386,0.0,0,0.563
-1058084,267750,201204010545,1,2,21,6702,0.24870592,0.0,0,0.563
-1058326,267728,201204010545,1,2,21,6870,0.25922677,0.0,0,0.563
-1058545,267709,201204010545,1,2,21,6750,0.25171188,0.0,0,0.563
-1058789,267687,201204010545,1,2,21,6526,0.2376841,0.0,0,0.563
-1059048,267664,201204010545,1,2,21,6173,0.21557784,0.0,0,0.563
-1059237,267647,201204010545,1,2,21,6325,0.22509669,0.0,0,0.563
-1059436,267629,201204010545,1,2,21,6173,0.21557784,0.0,0,0.563
-1059651,267610,201204010545,1,2,21,6036,0.20699835,0.0,0,0.563
-1059866,267590,201204010545,1,2,21,5771,0.190403,0.0,0,0.563
-1060096,267570,201204010545,1,2,21,6165,0.21507685,0.0,0,0.563
-1060313,267550,201204010545,1,2,21,6004,0.20499438,0.0,0,0.563
-1060534,267530,201204010545,1,2,21,5827,0.19390994,0.0,0,0.563
-1060743,267511,201204010545,1,2,21,6084,0.2100043,0.0,0,0.563
-1060954,267492,201204010545,1,2,21,6301,0.22359371,0.0,0,0.563
-1061172,267472,201204010545,1,2,21,6470,0.23417716,0.0,0,0.563
-1061362,267455,201204010545,1,2,21,6430,0.2316722,0.0,0,0.563
-1061566,267436,201204010545,1,2,21,6181,0.21607883,0.0,0,0.563
-1061770,267417,201204010545,1,2,21,6173,0.21557784,0.0,0,0.563
-1061993,267397,201204010545,1,2,21,6373,0.22810264,0.0,0,0.563
-1062215,267376,201204010545,1,2,21,6654,0.24569997,0.0,0,0.563
-1062396,267360,201204010545,1,2,21,6782,0.25371584,0.0,0,0.563
-1062596,267341,201204010545,1,2,21,6614,0.24319501,0.0,0,0.563
-1062803,267322,201204010545,1,2,21,6558,0.23968807,0.0,0,0.563
-1063026,267302,201204010545,1,2,21,6662,0.24620096,0.0,0,0.563
-1063242,267282,201204010545,1,2,21,6919,0.26229534,0.0,0,0.563
-1063448,267262,201204010545,1,2,21,6935,0.26329732,0.0,0,0.563
-1063671,267242,201204010545,1,2,21,6830,0.2567218,0.0,0,0.563
-1063881,267222,201204010545,1,2,21,6718,0.2497079,0.0,0,0.563
-1064065,267205,201204010545,1,2,21,6742,0.2512109,0.0,0,0.563
-1064278,267185,201204010545,1,2,21,6726,0.2502089,0.0,0,0.563
-1064475,267167,201204010545,1,2,21,6670,0.24670196,0.0,0,0.563
-1064695,267146,201204010545,1,2,21,6606,0.24269402,0.0,0,0.563
-1064899,267127,201204010545,1,2,21,6630,0.244197,0.0,0,0.563
-1065103,267108,201204010545,1,2,21,6534,0.2381851,0.0,0,0.563
-1065305,267089,201204010545,1,2,21,6478,0.23467815,0.0,0,0.563
-1065507,267070,201204010545,1,2,21,6357,0.22710066,0.0,0,0.563
-1065701,267051,201204010545,1,2,21,6301,0.22359371,0.0,0,0.563
-1065901,267033,201204010545,1,2,21,6221,0.21858379,0.0,0,0.563
-1066107,267013,201204010545,1,2,21,6197,0.21708082,0.0,0,0.563
-1066302,266995,201204010545,1,2,21,6189,0.21657982,0.0,0,0.563
-1066502,266976,201204010545,1,2,21,6084,0.2100043,0.0,0,0.563
-1066692,266957,201204010545,1,2,21,5924,0.19998446,0.0,0,0.563
